6294,3.0
63082,4.0
26736,5.0
79293,2.5
85414,3.0
79695,2.0
349,3.5
85414,4.0
1089,4.0
50,4.5
1196,4.5
111,4.0
1210,3.5
377,4.0
3793,4.0
1573,4.5
5349,4.0
80094,2.0
5952,4.5
81782,3.0
7153,4.0
81932,3.0
8636,4.0
153,3.0
27831,3.5
3114,3.5
32587,4.0
3948,3.5
49822,4.0
4310,3.5
84954,3.0
4995,3.5
1035,5.0
7254,4.5
30793,4.0
30707,4.0
76077,2.0
60684,4.0
1,5.0
77561,4.0
1517,4.0
277,0.5
1907,5.0
1287,5.0
1947,4.5
3949,5.0
2605,2.5
235,4.5
3873,4.0
260,4.5
4571,4.5
273,2.5
4963,4.0
282,2.5
7317,4.0
593,4.0
8360,3.0
904,4.0
45517,3.5
920,5.0
67087,4.0
1032,3.0
48,5.0
1127,0.5
185,3.5
1132,3.0
440,4.5
1178,4.0
474,5.0
1197,2.0
500,3.0
1214,4.5
586,3.5
1219,3.5
924,5.0
1252,4.0
1019,5.0
1291,2.5
1035,5.0
1356,3.0
1090,5.0
1608,4.5
1097,4.5
1663,4.0
1193,5.0
1994,2.5
1201,5.0
2019,5.0
1256,5.0
2064,4.0
1270,5.0
2067,3.0
1302,5.0
2138,3.0
1431,3.0
2150,4.0
1704,3.5
2376,3.0
1907,5.0
2454,2.5
1945,5.0
2641,3.0
2006,4.5
2660,2.5
2011,4.5
2729,2.0
2081,5.0
2808,1.5
2085,5.0
2848,4.5
2161,4.0
2949,4.0
2366,5.0
3016,2.5
2571,2.0
3033,2.0
3439,4.0
3082,3.0
3948,4.0
3174,3.0
4369,4.0
3196,5.0
4874,4.0
3503,2.0
5066,5.0
3608,2.5
5349,0.5
3702,3.0
5418,5.0
3703,4.5
6365,2.0
3926,2.0
6947,3.5
4148,2.5
7293,3.5
4308,2.0
7458,4.5
4370,3.5
8665,5.0
4415,1.5
33679,3.0
4591,1.0
41566,4.5
4713,1.5
56174,4.0
4980,2.0
59369,4.5
5810,3.5
59615,2.0
6270,2.0
68319,4.5
6303,4.0
68358,5.0
6724,4.5
68954,5.0
7063,5.0
82461,4.5
7128,2.5
1704,5.0
8338,4.5
2003,2.0
8622,2.5
4973,4.5
8665,2.5
8950,4.0
26365,2.0
44974,3.5
32587,4.5
56715,5.0
32825,1.0
81591,4.5
34405,1.0
2059,2.5
46530,1.0
3159,5.0
48394,2.0
8642,5.0
51255,3.5
30793,5.0
53737,2.0
31698,5.0
53996,1.0
44193,5.0
54995,1.0
54259,4.5
71743,4.0
58105,5.0
903,4.5
79091,3.5
1270,5.0
81845,4.5
1293,4.0
1049,3.5
59369,4.0
1172,3.5
524,4.0
1210,3.5
3450,3.5
3702,4.0
6383,3.5
3510,5.0
20,2.0
49272,4.0
50,5.0
57368,0.5
110,4.0
186,3.5
329,2.5
1358,3.5
377,3.5
69644,3.5
410,3.0
77561,3.0
551,4.5
79695,3.5
733,3.5
83177,2.5
1265,4.0
85414,4.0
1381,0.5
1,5.0
1485,2.0
253,4.0
1573,2.5
455,2.0
1722,3.5
539,4.0
2004,3.5
745,4.0
2329,4.5
919,4.5
2353,2.5
1148,3.5
2571,4.5
1298,2.5
2700,3.5
1566,5.0
2987,2.5
1688,5.0
3081,4.0
1907,5.0
3578,3.5
1920,4.0
4370,3.5
2485,3.5
5010,5.0
2687,4.5
8636,3.0
2918,4.5
49272,3.5
3287,4.5
51662,4.0
3798,3.5
54286,4.0
4270,5.0
81834,1.0
4367,3.5
104,3.0
4370,2.0
161,4.0
4878,5.0
235,4.5
4886,5.0
276,4.0
5159,5.0
541,3.0
5445,4.0
553,4.5
8015,4.0
587,4.0
8636,1.0
910,3.5
8965,3.0
914,4.0
26662,5.0
1022,3.5
27706,5.0
1094,3.5
33679,4.0
1203,4.5
51255,2.5
1246,4.5
58162,4.0
1247,4.0
64034,4.5
1275,4.5
68954,5.0
1288,3.0
71264,5.0
1291,4.5
85788,5.0
1343,4.0
66934,5.0
1358,4.5
760,3.0
1485,4.0
909,4.0
1569,4.0
2058,3.0
1625,4.0
3545,2.5
1729,3.5
3671,1.5
2001,4.5
4643,2.0
2023,4.0
27869,5.0
2081,3.5
33437,4.0
2109,4.5
40597,3.5
2340,4.0
59725,1.0
2396,4.0
68319,2.0
2431,4.0
74504,3.0
2528,4.5
90600,3.5
2529,5.0
4878,4.0
2671,4.5
44555,4.5
2871,4.5
76091,4.0
2915,4.5
85342,4.5
2944,5.0
86644,4.0
2985,4.0
86781,4.5
3108,4.0
8914,4.0
3210,4.0
68237,4.0
3247,4.0
1947,2.0
3408,4.5
2396,4.0
3510,4.0
2732,2.0
3702,4.0
5525,3.5
3785,4.0
8914,0.5
3809,4.5
30898,3.0
3969,4.0
62155,3.0
4148,4.0
66665,3.5
4223,4.5
2571,3.5
4370,4.5
4306,2.5
4734,4.0
73268,3.5
4776,4.5
79132,5.0
4848,2.5
77455,4.5
5060,4.5
356,5.0
5218,3.5
441,4.5
5266,4.0
5528,2.0
5524,3.5
6539,4.0
5995,4.5
2966,4.0
6870,4.0
4214,2.5
8132,5.0
80219,3.0
33166,4.0
81784,3.0
33679,4.0
83270,2.0
55247,4.0
296,4.5
56587,2.5
480,4.5
59369,4.0
586,0.5
68157,4.0
914,3.0
72733,4.0
1027,3.0
74458,1.5
1252,4.5
80839,3.0
6711,5.0
81591,1.5
6,4.0
110,4.5
10,4.0
318,4.0
165,3.5
356,3.0
266,4.0
461,0.5
367,4.0
866,4.5
377,3.0
1897,2.5
508,5.0
2072,3.5
553,4.0
2115,4.0
586,4.0
2140,3.5
597,3.5
3793,3.5
648,3.5
5952,5.0
780,3.5
8961,3.0
858,5.0
27246,4.0
1073,4.0
46578,1.5
1193,4.5
71450,4.5
1207,4.5
223,3.0
1345,3.5
231,2.0
1682,4.0
318,4.5
2012,3.5
551,4.0
2174,4.5
594,3.5
2797,4.0
597,4.0
3176,4.0
780,3.0
3481,4.5
1183,4.0
5418,4.5
1196,4.0
5952,4.5
1265,4.0
6016,5.0
1358,2.0
6059,4.0
1380,4.0
7980,5.0
1967,4.5
8507,3.0
1968,4.0
33794,4.5
2193,4.0
55820,4.5
2291,4.0
89386,5.0
2396,4.0
90474,3.0
2763,4.0
1091,2.5
2797,4.0
1498,5.0
2918,3.5
2369,3.5
3317,3.5
2409,1.5
3784,4.0
5066,5.0
4002,4.0
5577,4.5
4011,3.0
6215,3.5
4023,3.5
30749,4.0
4446,3.5
55442,4.5
5026,2.5
56389,4.5
5377,3.5
61941,5.0
6188,2.5
62344,5.0
6367,2.5
71327,4.0
7143,3.5
72395,3.5
7147,4.0
73023,3.5
7149,3.0
79357,4.0
7164,3.0
12,3.5
8530,3.5
296,4.5
8910,4.0
616,4.5
33493,3.5
1270,5.0
34150,3.5
49272,4.0
38061,3.5
56757,4.5
40339,3.5
168,3.5
42725,3.0
169,0.5
43684,3.5
288,4.0
45668,4.0
344,3.5
47725,3.0
410,3.0
47997,4.0
592,2.5
48043,4.5
747,1.0
49286,3.5
919,1.5
51705,3.0
1036,2.5
53125,4.0
1090,3.5
53956,4.5
1240,2.0
56941,3.5
1690,3.0
58347,4.0
1961,4.5
58559,4.0
2028,4.0
59387,4.5
2124,3.0
65682,3.5
2470,3.0
65868,4.5
